"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_age_weighted","accuracy","f_measure","auroc_I0002","auroc_age_cond_I0002","auroc_I0006","auroc_age_cond_I0006","auroc_S0001","auroc_age_cond_S0001"
20,"2026-08-05 19:13:26.219453","train",0,1.6890735626220703,4.0009669118256925e-05,"","","","","","","","","","","",""
40,"2026-08-05 19:13:27.113578","train",0,0.7937263250350952,4.003867608347821e-05,"","","","","","","","","","","",""
60,"2026-08-05 19:13:27.962268","train",0,1.675769329071045,4.008701972703149e-05,"","","","","","","","","","","",""
80,"2026-08-05 19:13:28.759814","train",0,0.34975874423980713,4.01546981012485e-05,"","","","","","","","","","","",""
100,"2026-08-05 19:13:29.587099","train",0,0.3573611378669739,4.024170847950336e-05,"","","","","","","","","","","",""
120,"2026-08-05 19:13:30.395250","train",0,1.2133430242538452,4.034804735632237e-05,"","","","","","","","","","","",""
140,"2026-08-05 19:13:31.263156","train",0,0.7756372094154358,4.047371044752597e-05,"","","","","","","","","","","",""
160,"2026-08-05 19:13:32.075992","train",0,0.7781890630722046,4.0618692690400234e-05,"","","","","","","","","","","",""
180,"2026-08-05 19:13:32.966147","train",0,1.5667905807495117,4.078298824390159e-05,"","","","","","","","","","","",""
200,"2026-08-05 19:13:33.791484","train",0,1.5497187376022339,4.0966590488892185e-05,"","","","","","","","","","","",""
220,"2026-08-05 19:13:34.742570","train",0,0.4028732180595398,4.116949202840584e-05,"","","","","","","","","","","",""
240,"2026-08-05 19:13:35.577617","train",0,0.7714308500289917,4.139168468794696e-05,"","","","","","","","","","","",""
260,"2026-08-05 19:13:36.403518","train",0,0.7762988209724426,4.163315951581951e-05,"","","","","","","","","","","",""
280,"2026-08-05 19:13:37.206068","train",0,0.7893872857093811,4.1893906783486826e-05,"","","","","","","","","","","",""
300,"2026-08-05 19:13:38.027752","train",0,0.7855198979377747,4.2173915985965304e-05,"","","","","","","","","","","",""
320,"2026-08-05 19:13:38.892243","train",0,1.9030041694641113,4.247317584224616e-05,"","","","","","","","","","","",""
