"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_age_weighted","accuracy","f_measure","auroc_I0002","auroc_age_cond_I0002","auroc_I0006","auroc_age_cond_I0006","auroc_S0001","auroc_age_cond_S0001"
20,"2026-08-05 11:57:59.280381","train",0,1.1481163501739502,4.000961077716325e-05,"","","","","","","","","","","",""
40,"2026-08-05 11:58:00.095309","train",0,2.2055630683898926,4.00384427237903e-05,"","","","","","","","","","","",""
60,"2026-08-05 11:58:00.941121","train",0,2.197275400161743,4.008649468530861e-05,"","","","","","","","","","","",""
80,"2026-08-05 11:58:01.926139","train",0,1.6635398864746094,4.01537647374818e-05,"","","","","","","","","","","",""
100,"2026-08-05 11:58:02.783695","train",0,1.6723929643630981,4.024025018648739e-05,"","","","","","","","","","","",""
120,"2026-08-05 11:58:03.737840","train",0,1.6701092720031738,4.034594756902347e-05,"","","","","","","","","","","",""
140,"2026-08-05 11:58:04.617458","train",0,2.682112693786621,4.047085265244867e-05,"","","","","","","","","","","",""
160,"2026-08-05 11:58:05.585455","train",0,1.1692819595336914,4.061496043495044e-05,"","","","","","","","","","","",""
180,"2026-08-05 11:58:06.493507","train",0,1.1684235334396362,4.077826514574693e-05,"","","","","","","","","","","",""
200,"2026-08-05 11:58:07.559546","train",0,1.668084979057312,4.096076024531585e-05,"","","","","","","","","","","",""
220,"2026-08-05 11:58:08.545188","train",0,1.1578456163406372,4.11624384256587e-05,"","","","","","","","","","","",""
240,"2026-08-05 11:58:09.388534","train",0,1.1611051559448242,4.138329161059199e-05,"","","","","","","","","","","",""
260,"2026-08-05 11:58:10.257206","train",0,1.153967261314392,4.162331095607075e-05,"","","","","","","","","","","",""
280,"2026-08-05 11:58:11.116687","train",0,2.1740212440490723,4.188248685054331e-05,"","","","","","","","","","","",""
300,"2026-08-05 11:58:12.117874","train",0,1.6696933507919312,4.2160808915335285e-05,"","","","","","","","","","","",""
320,"2026-08-05 11:58:12.954370","train",0,2.171351194381714,4.245826600506649e-05,"","","","","","","","","","","",""
331,"2026-08-05 11:58:29.530103","val",0,"","",0.6057674899780163,0.11844374703217074,0.5337029702970297,0.5166068905298009,0.9278115501519757,0.0,0.70020964360587,0.7017543859649122,0.5748959778085991,0.4982456140350877,0.6046697585159123,0.5222377188904386
340,"2026-08-05 11:58:40.691635","train",1,1.161661982536316,4.277484620809587e-05,"","","","","","","","","","","",""
360,"2026-08-05 11:58:41.632632","train",1,1.6817266941070557,4.311053684699932e-05,"","","","","","","","","","","",""
380,"2026-08-05 11:58:42.520708","train",1,2.683962345123291,4.3465324479077306e-05,"","","","","","","","","","","",""
400,"2026-08-05 11:58:43.455131","train",1,1.1635271310806274,4.383919489689262e-05,"","","","","","","","","","","",""
420,"2026-08-05 11:58:44.339897","train",1,1.6564959287643433,4.423213312884015e-05,"","","","","","","","","","","",""
440,"2026-08-05 11:58:45.298695","train",1,1.6553468704223633,4.4644123439745663e-05,"","","","","","","","","","","",""
460,"2026-08-05 11:58:46.364679","train",1,1.6546180248260498,4.5075149331496385e-05,"","","","","","","","","","","",""
480,"2026-08-05 11:58:47.230040","train",1,1.6702320575714111,4.55251935437015e-05,"","","","","","","","","","","",""
500,"2026-08-05 11:58:48.349787","train",1,1.6784403324127197,4.599423805438333e-05,"","","","","","","","","","","",""
520,"2026-08-05 11:58:49.484518","train",1,1.1578534841537476,4.648226408069918e-05,"","","","","","","","","","","",""
540,"2026-08-05 11:58:50.295815","train",1,2.6563925743103027,4.698925207969316e-05,"","","","","","","","","","","",""
560,"2026-08-05 11:58:51.325138","train",1,1.6714590787887573,4.7515181749079255e-05,"","","","","","","","","","","",""
580,"2026-08-05 11:58:52.163665","train",1,1.6501314640045166,4.8060032028053655e-05,"","","","","","","","","","","",""
600,"2026-08-05 11:58:53.038389","train",1,2.158379554748535,4.8623781098138886e-05,"","","","","","","","","","","",""
620,"2026-08-05 11:58:53.961223","train",1,1.637439489364624,4.9206406384057146e-05,"","","","","","","","","","","",""
640,"2026-08-05 11:58:54.917546","train",1,1.639940619468689,4.98078845546342e-05,"","","","","","","","","","","",""
660,"2026-08-05 11:58:55.905290","train",1,1.6529117822647095,5.042819152373398e-05,"","","","","","","","","","","",""
662,"2026-08-05 11:59:12.764817","val",1,"","",0.6054485107116686,0.1210775556572854,0.5352871287128713,0.5128354893901559,0.8503039513677811,0.19591836734693877,0.689727463312369,0.7192982456140351,0.5811373092926491,0.5070175438596491,0.6,0.5239423523942353
680,"2026-08-05 11:59:24.104983","train",2,2.1703121662139893,5.106730245122294e-05,"","","","","","","","","","","",""
700,"2026-08-05 11:59:24.958723","train",2,2.165182113647461,5.172519174396475e-05,"","","","","","","","","","","",""
720,"2026-08-05 11:59:25.803302","train",2,2.5770654678344727,5.240183305684528e-05,"","","","","","","","","","","",""
740,"2026-08-05 11:59:26.590582","train",2,2.169997215270996,5.3097199293827856e-05,"","","","","","","","","","","",""
760,"2026-08-05 11:59:27.422739","train",2,1.1815475225448608,5.3811262609037235e-05,"","","","","","","","","","","",""
780,"2026-08-05 11:59:28.263597","train",2,1.6808034181594849,5.4543994407876134e-05,"","","","","","","","","","","",""
800,"2026-08-05 11:59:29.138691","train",2,2.1402151584625244,5.529536534816916e-05,"","","","","","","","","","","",""
820,"2026-08-05 11:59:30.061848","train",2,1.172112226486206,5.6065345341338967e-05,"","","","","","","","","","","",""
840,"2026-08-05 11:59:30.945612","train",2,2.1322519779205322,5.685390355360969e-05,"","","","","","","","","","","",""
860,"2026-08-05 11:59:31.872911","train",2,2.6946167945861816,5.766100840724254e-05,"","","","","","","","","","","",""
880,"2026-08-05 11:59:32.732345","train",2,1.161342978477478,5.8486627581800935e-05,"","","","","","","","","","","",""
900,"2026-08-05 11:59:33.557614","train",2,2.158703088760376,5.9330728015443194e-05,"","","","","","","","","","","",""
920,"2026-08-05 11:59:34.386653","train",2,1.6836256980895996,6.019327590624799e-05,"","","","","","","","","","","",""
940,"2026-08-05 11:59:35.174044","train",2,2.171265125274658,6.107423671356709e-05,"","","","","","","","","","","",""
960,"2026-08-05 11:59:36.025386","train",2,1.682121753692627,6.19735751594087e-05,"","","","","","","","","","","",""
980,"2026-08-05 11:59:36.889881","train",2,1.112200140953064,6.289125522985031e-05,"","","","","","","","","","","",""
993,"2026-08-05 11:59:53.230012","val",2,"","",0.6291133238501658,0.1376534249166647,0.5297425742574258,0.5070526598143283,0.8381458966565349,0.20817843866171004,0.7358490566037736,0.7192982456140351,0.5982431807674526,0.5245614035087719,0.6211098672637134,0.506741050674105
1000,"2026-08-05 12:00:06.357563","train",3,1.6461787223815918,6.382724017648094e-05,"","","","","","","","","","","",""
1020,"2026-08-05 12:00:07.452201","train",3,1.1320523023605347,6.478149251787249e-05,"","","","","","","","","","","",""
1040,"2026-08-05 12:00:08.460298","train",3,2.274034023284912,6.575397404108042e-05,"","","","","","","","","","","",""
1060,"2026-08-05 12:00:09.532542","train",3,2.5284056663513184,6.674464580317513e-05,"","","","","","","","","","","",""
1080,"2026-08-05 12:00:10.601758","train",3,1.0398366451263428,6.775346813279993e-05,"","","","","","","","","","","",""
1100,"2026-08-05 12:00:11.724330","train",3,1.6048624515533447,6.878040063176068e-05,"","","","","","","","","","","",""
