"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-03 21:28:42.759397","train",0,0.7314245700836182,4.0009669118256925e-05,"","","","","",""
40,"2026-08-03 21:28:43.863705","train",0,1.1877415180206299,4.003867608347821e-05,"","","","","",""
60,"2026-08-03 21:28:44.931776","train",0,1.1850687265396118,4.008701972703149e-05,"","","","","",""
80,"2026-08-03 21:28:45.990023","train",0,0.717481791973114,4.01546981012485e-05,"","","","","",""
100,"2026-08-03 21:28:47.098573","train",0,1.1798287630081177,4.024170847950336e-05,"","","","","",""
120,"2026-08-03 21:28:48.181710","train",0,1.18013596534729,4.034804735632237e-05,"","","","","",""
140,"2026-08-03 21:28:49.387695","train",0,1.6384246349334717,4.047371044752597e-05,"","","","","",""
160,"2026-08-03 21:28:50.553255","train",0,1.6508840322494507,4.0618692690400234e-05,"","","","","",""
180,"2026-08-03 21:28:51.678536","train",0,1.1783854961395264,4.078298824390159e-05,"","","","","",""
200,"2026-08-03 21:28:52.799229","train",0,1.1764843463897705,4.0966590488892185e-05,"","","","","",""
220,"2026-08-03 21:28:53.924888","train",0,2.1217503547668457,4.116949202840584e-05,"","","","","",""
240,"2026-08-03 21:28:54.898566","train",0,0.695041835308075,4.139168468794696e-05,"","","","","",""
260,"2026-08-03 21:28:55.890323","train",0,1.6551920175552368,4.163315951581951e-05,"","","","","",""
280,"2026-08-03 21:28:56.844069","train",0,1.6515936851501465,4.1893906783486826e-05,"","","","","",""
300,"2026-08-03 21:28:57.884878","train",0,3.0890674591064453,4.2173915985965304e-05,"","","","","",""
320,"2026-08-03 21:28:58.873018","train",0,1.1732192039489746,4.247317584224616e-05,"","","","","",""
330,"2026-08-03 21:29:18.448727","val",0,"","",0.6922789393762412,0.1525928526841871,0.5994672648254591,0.5687830687830688,0.624860646599777,0.71388133695826
340,"2026-08-03 21:29:31.572300","train",1,1.6464192867279053,4.2791674295750344e-05,"","","","","",""
360,"2026-08-03 21:29:32.730120","train",1,1.1709063053131104,4.312939851481461e-05,"","","","","",""
380,"2026-08-03 21:29:33.802332","train",1,1.6835603713989258,4.3486334893207915e-05,"","","","","",""
400,"2026-08-03 21:29:35.082720","train",1,1.171027660369873,4.386246905068044e-05,"","","","","",""
420,"2026-08-03 21:29:36.188032","train",1,1.1720753908157349,4.425778583354138e-05,"","","","","",""
440,"2026-08-03 21:29:37.344021","train",1,0.6744560599327087,4.467226931527152e-05,"","","","","",""
460,"2026-08-03 21:29:38.451051","train",1,1.1598924398422241,4.5105902797163235e-05,"","","","","",""
480,"2026-08-03 21:29:39.604845","train",1,0.6637930870056152,4.555866880899377e-05,"","","","","",""
500,"2026-08-03 21:29:40.717882","train",1,1.1427959203720093,4.6030549109729656e-05,"","","","","",""
520,"2026-08-03 21:29:41.873901","train",1,2.6632678508758545,4.65215246882605e-05,"","","","","",""
540,"2026-08-03 21:29:43.044496","train",1,1.652547836303711,4.703157576416595e-05,"","","","","",""
560,"2026-08-03 21:29:44.001460","train",1,0.6700489521026611,4.756068178851181e-05,"","","","","",""
580,"2026-08-03 21:29:45.097654","train",1,1.6796056032180786,4.8108821444678386e-05,"","","","","",""
600,"2026-08-03 21:29:46.252152","train",1,1.72356116771698,4.867597264921939e-05,"","","","","",""
620,"2026-08-03 21:29:47.260319","train",1,1.6674504280090332,4.9262112552751194e-05,"","","","","",""
640,"2026-08-03 21:29:48.199730","train",1,0.6422439813613892,4.9867217540873325e-05,"","","","","",""
660,"2026-08-03 21:29:49.185803","train",1,1.6708884239196777,5.0491263235120714e-05,"","","","","",""
660,"2026-08-03 21:30:08.229637","val",1,"","",0.6530234006930655,0.12618257468871824,0.5712182812280948,0.5873015873015873,0.6220735785953178,0.6603870142331681
680,"2026-08-03 21:30:22.888627","train",2,1.1624773740768433,5.1134224493944907e-05,"","","","","",""
700,"2026-08-03 21:30:24.038086","train",2,1.15442955493927,5.179607541372735e-05,"","","","","",""
720,"2026-08-03 21:30:25.108696","train",2,1.1198980808258057,5.247678932982294e-05,"","","","","",""
740,"2026-08-03 21:30:26.306956","train",2,1.6234447956085205,5.317633881763437e-05,"","","","","",""
760,"2026-08-03 21:30:27.374166","train",2,1.604625940322876,5.389469569371701e-05,"","","","","",""
780,"2026-08-03 21:30:28.571497","train",2,0.5557373762130737,5.4631831016914325e-05,"","","","","",""
800,"2026-08-03 21:30:29.681526","train",2,1.8618364334106445,5.538771508952368e-05,"","","","","",""
820,"2026-08-03 21:30:30.817784","train",2,0.5052008628845215,5.616231745849299e-05,"","","","","",""
840,"2026-08-03 21:30:31.939290","train",2,1.1670128107070923,5.6955606916647824e-05,"","","","","",""
860,"2026-08-03 21:30:33.028107","train",2,1.8273340463638306,5.7767551503947996e-05,"","","","","",""
880,"2026-08-03 21:30:34.125320","train",2,0.5112501382827759,5.859811850877602e-05,"","","","","",""
900,"2026-08-03 21:30:34.977086","train",2,1.7556593418121338,5.944727446925452e-05,"","","","","",""
920,"2026-08-03 21:30:35.933681","train",2,1.0977811813354492,6.0314985174594144e-05,"","","","","",""
940,"2026-08-03 21:30:36.931064","train",2,1.9527168273925781,6.12012156664724e-05,"","","","","",""
960,"2026-08-03 21:30:37.801850","train",2,1.1937320232391357,6.210593024044177e-05,"","","","","",""
980,"2026-08-03 21:30:38.867035","train",2,0.5616781115531921,6.302909244736783e-05,"","","","","",""
990,"2026-08-03 21:30:57.770269","val",2,"","",0.7310828174278705,0.16922534983558948,0.6254030562175803,0.6216931216931216,0.6885916016350799,0.750455781225012
1000,"2026-08-03 21:31:10.639115","train",3,1.7497169971466064,6.397066509489843e-05,"","","","","",""
1020,"2026-08-03 21:31:11.712839","train",3,0.5588500499725342,6.493061024896165e-05,"","","","","",""
1040,"2026-08-03 21:31:12.901244","train",3,1.7632765769958496,6.590888923529385e-05,"","","","","",""
1060,"2026-08-03 21:31:13.959277","train",3,0.5202065706253052,6.690546264099867e-05,"","","","","",""
1080,"2026-08-03 21:31:15.122195","train",3,1.044682264328003,6.792029031613383e-05,"","","","","",""
1100,"2026-08-03 21:31:16.201547","train",3,1.1839566230773926,6.895333137532905e-05,"","","","","",""
1120,"2026-08-03 21:31:17.312258","train",3,1.0842784643173218,7.000454419943424e-05,"","","","","",""
1140,"2026-08-03 21:31:18.412288","train",3,1.7886054515838623,7.107388643719421e-05,"","","","","",""
1160,"2026-08-03 21:31:19.547897","train",3,1.8454537391662598,7.216131500695699e-05,"","","","","",""
1180,"2026-08-03 21:31:20.754766","train",3,0.47289425134658813,7.326678609840805e-05,"","","","","",""
1200,"2026-08-03 21:31:22.022868","train",3,1.1148203611373901,7.439025517433622e-05,"","","","","",""
1220,"2026-08-03 21:31:22.914676","train",3,0.5121642351150513,7.553167697242744e-05,"","","","","",""
1240,"2026-08-03 21:31:23.884975","train",3,0.9945144653320312,7.669100550708853e-05,"","","","","",""
1260,"2026-08-03 21:31:24.866914","train",3,1.2278872728347778,7.78681940713003e-05,"","","","","",""
1280,"2026-08-03 21:31:25.760665","train",3,2.02127742767334,7.906319523849799e-05,"","","","","",""
1300,"2026-08-03 21:31:26.788254","train",3,0.5283420085906982,8.027596086448345e-05,"","","","","",""
1320,"2026-08-03 21:31:27.686220","train",3,0.48426926136016846,8.150644208936388e-05,"","","","","",""
1320,"2026-08-03 21:31:45.992716","val",3,"","",0.7618969746524938,0.20549390731944714,0.6471330436001682,0.664021164021164,0.7153474544778894,0.7806332960179115
1340,"2026-08-03 21:31:57.734157","train",4,0.4114096760749817,8.275458933952075e-05,"","","","","",""
1360,"2026-08-03 21:31:58.563369","train",4,1.572924256324768,8.402035232960643e-05,"","","","","",""
1380,"2026-08-03 21:31:59.475421","train",4,0.40242642164230347,8.530368006457107e-05,"","","","","",""
1400,"2026-08-03 21:32:00.262767","train",4,1.917487621307373,8.660452084171611e-05,"","","","","",""
1420,"2026-08-03 21:32:01.103898","train",4,2.643392562866211,8.792282225277784e-05,"","","","","",""
1440,"2026-08-03 21:32:01.923014","train",4,0.5131809115409851,8.925853118603834e-05,"","","","","",""
1460,"2026-08-03 21:32:02.743925","train",4,1.0169925689697266,9.061159382846599e-05,"","","","","",""
1480,"2026-08-03 21:32:03.551184","train",4,0.45323947072029114,9.198195566788303e-05,"","","","","",""
1500,"2026-08-03 21:32:04.381443","train",4,1.6180994510650635,9.336956149516129e-05,"","","","","",""
1520,"2026-08-03 21:32:05.211458","train",4,0.8763850331306458,9.477435540644738e-05,"","","","","",""
1540,"2026-08-03 21:32:06.069537","train",4,0.992847204208374,9.619628080541462e-05,"","","","","",""
