"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-03 22:49:18.622362","train",0,1.7037233114242554,4.0009669118256925e-05,"","","","","",""
40,"2026-08-03 22:49:19.458153","train",0,1.1724674701690674,4.003867608347821e-05,"","","","","",""
60,"2026-08-03 22:49:20.299784","train",0,2.2382020950317383,4.008701972703149e-05,"","","","","",""
80,"2026-08-03 22:49:21.115220","train",0,1.1655685901641846,4.01546981012485e-05,"","","","","",""
100,"2026-08-03 22:49:21.945121","train",0,0.6361826062202454,4.024170847950336e-05,"","","","","",""
120,"2026-08-03 22:49:22.744383","train",0,1.1642472743988037,4.034804735632237e-05,"","","","","",""
140,"2026-08-03 22:49:23.601318","train",0,1.7009937763214111,4.047371044752597e-05,"","","","","",""
160,"2026-08-03 22:49:24.438711","train",0,1.6942138671875,4.0618692690400234e-05,"","","","","",""
180,"2026-08-03 22:49:25.297688","train",0,1.1712772846221924,4.078298824390159e-05,"","","","","",""
200,"2026-08-03 22:49:26.205568","train",0,1.6967906951904297,4.0966590488892185e-05,"","","","","",""
220,"2026-08-03 22:49:27.088781","train",0,0.6438493728637695,4.116949202840584e-05,"","","","","",""
240,"2026-08-03 22:49:27.902488","train",0,0.6544204354286194,4.139168468794696e-05,"","","","","",""
260,"2026-08-03 22:49:28.729669","train",0,1.1722967624664307,4.163315951581951e-05,"","","","","",""
280,"2026-08-03 22:49:29.524311","train",0,0.6709222793579102,4.1893906783486826e-05,"","","","","",""
300,"2026-08-03 22:49:30.376704","train",0,0.6725093126296997,4.2173915985965304e-05,"","","","","",""
320,"2026-08-03 22:49:31.243860","train",0,1.66293466091156,4.247317584224616e-05,"","","","","",""
330,"2026-08-03 22:49:47.386099","val",0,"","",0.642001818723684,0.15048775069077475,0.579765764573546,0.5684848484848485,0.6243032329988851,0.6576640494434459
340,"2026-08-03 22:49:58.374099","train",1,2.1413228511810303,4.2791674295750344e-05,"","","","","",""
360,"2026-08-03 22:49:59.264552","train",1,0.6810853481292725,4.312939851481461e-05,"","","","","",""
380,"2026-08-03 22:50:00.088101","train",1,1.6594469547271729,4.3486334893207915e-05,"","","","","",""
400,"2026-08-03 22:50:00.882268","train",1,2.14339280128479,4.386246905068044e-05,"","","","","",""
420,"2026-08-03 22:50:01.661385","train",1,1.1585209369659424,4.425778583354138e-05,"","","","","",""
440,"2026-08-03 22:50:02.470942","train",1,1.1655715703964233,4.467226931527152e-05,"","","","","",""
460,"2026-08-03 22:50:03.339159","train",1,0.7000939846038818,4.5105902797163235e-05,"","","","","",""
480,"2026-08-03 22:50:04.119628","train",1,1.1891448497772217,4.555866880899377e-05,"","","","","",""
500,"2026-08-03 22:50:04.983184","train",1,0.6899691820144653,4.6030549109729656e-05,"","","","","",""
520,"2026-08-03 22:50:05.788265","train",1,0.6937515735626221,4.65215246882605e-05,"","","","","",""
540,"2026-08-03 22:50:06.601795","train",1,1.6218262910842896,4.703157576416595e-05,"","","","","",""
560,"2026-08-03 22:50:07.366264","train",1,2.1831893920898438,4.756068178851181e-05,"","","","","",""
580,"2026-08-03 22:50:08.147488","train",1,1.165757179260254,4.8108821444678386e-05,"","","","","",""
600,"2026-08-03 22:50:09.008001","train",1,1.632460594177246,4.867597264921939e-05,"","","","","",""
620,"2026-08-03 22:50:09.800653","train",1,1.661205530166626,4.9262112552751194e-05,"","","","","",""
640,"2026-08-03 22:50:10.629763","train",1,1.1733983755111694,4.9867217540873325e-05,"","","","","",""
660,"2026-08-03 22:50:11.404150","train",1,0.6745597720146179,5.0491263235120714e-05,"","","","","",""
660,"2026-08-03 22:50:27.225069","val",1,"","",0.647931774936765,0.1387713855387433,0.5940580956792165,0.6218181818181818,0.6497584541062802,0.650805663292656
680,"2026-08-03 22:50:38.482822","train",2,0.6564115285873413,5.1134224493944907e-05,"","","","","",""
700,"2026-08-03 22:50:39.304215","train",2,1.6091938018798828,5.179607541372735e-05,"","","","","",""
720,"2026-08-03 22:50:40.106147","train",2,2.2020602226257324,5.247678932982294e-05,"","","","","",""
